study_accession,accession,condition,run,fq1,fq2
GSE84293,GSM2231167,SCC,SRR3877307,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877307_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877307_2.fastq
GSE84293,GSM2231168,SCC,SRR3877308,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877308_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877308_2.fastq
GSE84293,GSM2231169,NS,SRR3877309,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877309_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877309_2.fastq
GSE84293,GSM2231170,AK,SRR3877310,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877310_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877310_2.fastq
GSE84293,GSM2231171,SCC,SRR3877311,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877311_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877311_2.fastq
GSE84293,GSM2231172,NS,SRR3877312,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877312_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877312_2.fastq
GSE84293,GSM2231173,AK,SRR3877313,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877313_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877313_2.fastq
GSE84293,GSM2231174,SCC,SRR3877314,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877314_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877314_2.fastq
GSE84293,GSM2231175,NS,SRR3877315,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877315_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877315_2.fastq
GSE84293,GSM2231176,AK,SRR3877316,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877316_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877316_2.fastq
GSE84293,GSM2231177,SCC,SRR3877317,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877317_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877317_2.fastq
GSE84293,GSM2231178,NS,SRR3877318,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877318_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877318_2.fastq
GSE84293,GSM2231179,AK,SRR3877319,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877319_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877319_2.fastq
GSE84293,GSM2231180,SCC,SRR3877320,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877320_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877320_2.fastq
GSE84293,GSM2231181,AK,SRR3877321,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877321_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877321_2.fastq
GSE84293,GSM2231182,SCC,SRR3877322,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877322_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877322_2.fastq
E-MTAB-5678,ERS1721581,AK,ERR1971038,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971038_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971038_2.fastq.gz
